,Name,Code,ICAO
0,21 Air,2I,CSB
1,247 Aviation,,EMC
2,2Excel Aviation,,BRO
3,4 Airways,,DAK
4,40-Mile Air,Q5,MLA
5,748 Air Services,FE,IHO
6,9 Air,AQ,JYH
7,Abakan Air,S5,NKP
8,ABS Jets,,ABP
9,Abu Dhabi Aviation,,BAR
10,ABX Air,GB,ABX
11,Acass Ireland,,SON
12,Advanced Air,AN,WSN
13,Aegean Airlines,A3,AEE
14,Aer Lingus,EI,EIN
15,Aer Lingus UK,EG,EUK
16,AerCaribe,JK,ACL
17,Aero,5E,BLK
18,Aero,N2,NIG
19,Aero Asahi Corporation,,AKF
20,Aero Charter,,GLT
21,Aero Charter and Transport,,CTA
22,Aero Dili,8G,DTL
23,Aero FlightOps UK,FO,UKA
24,Aero Guernsey,,AEO
25,Aero K,RF,EOK
26,Aero Mongolia,M0,MNG
27,Aero Nomad,KA,ANK
28,Aero Sotravia,,ASR
29,Aero Ways,,TKK
30,Aero-Beta Flight Training,,ABA
31,Aero-Dienst,,ADN
32,Aeroavila Transortes Aereos,,KKA
33,Aeroflot,SU,AFL
34,AeroGuard Flight Training Center,,ASI
35,Aeroitalia,XZ,AEZ
36,Aerojet Tomza,,EZI
37,Aerolineas Argentinas,AR,ARG
38,Aerolineas Ejecutivas,,LET
39,Aerolineas Sosa,P4,NSO
40,Aerolink Uganda,A8,XAU
41,AeroLogic,3S,BOX
42,Aeromas,UY,MSM
43,Aeromexico,AM,AMX
44,Aeromexico Connect,5D,SLI
45,Aeronaves TSM,,VTM
46,Aeropartner,,DFC
47,Aeropyrenees,,EAP
48,Aeroregional,6G,RER
49,Aeroservicios Avila,,VEA
50,Aeroservicios de la Costa,,TAA
51,Aerostan,KW,BSC
52,Aerosucre,A4,KRE
53,Aerosul Linhas Aereas,,ASO
54,Aerotec,,AEP
55,Aerotours,,ATU
56,Aerotranscargo,F5,ATG
57,AeroUnion,6R,TNO
58,Aerovias DAP,V5,DAP
59,Aerovis Airlines,,VIZ
60,Aeroways,,MCK
61,Aerus,ZV,RFD
62,AF-Aviation,,AFF
63,Africa Airlines,,AAT
64,Africa Charter Airline,,FSK
65,Africa World Airlines,AW,AFW
66,African Express Airways,XU,AXK
67,Afrijet,J7,ABS
68,Afriqiyah Airways,8U,AAW
69,Aims Community College,,RTY
70,Air 1st Aviation,,RUF
71,Air Adelphi,,MUS
72,Air Albania,ZB,ABN
73,Air Algerie,AH,DAH
74,Air Alliance,,AYY
75,Air Alsie,6I,MMD
76,Air Anka,6K,TAH
77,Air Arabia,G9,ABY
78,Air Arabia Abu Dhabi,3L,ADY
79,Air Arabia Egypt,E5,RBG
80,Air Arabia Maroc,3O,MAC
81,Air Astana,KC,KZR
82,Air Astra,2A,AWA
83,Air Atlanta Europe,CT,AAE
84,Air Atlanta Icelandic,CC,ABD
85,Air Austral,UU,REU
86,Air Baltic,BT,BTI
87,Air Belgium,KF,ABB
88,Air Bohemia,,BOH
89,Air Borealis,,LBR
90,Air Botswana,BP,BOT
91,Air Burkina,2J,VBW
92,Air Busan,BX,ABL
93,Air Cairo,SM,MSC
94,Air Caledonie,TY,TPC
95,Air Canada,AC,ACA
96,Air Canada Rouge,RV,ROU
97,Air Caraibes,TX,FWI
98,Air Caraïbes Atlantique,,CAJ
