,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,a8c6e8,1714077182,KCLT,1714079060,KROA,PDT5711 ,3219.0,259.0,225.0,53.0,0,6
1,aac45a,1714075924,KLAF,1714078486,KLAF,N793ND  ,736.0,93.0,1216.0,85.0,2,14
2,ac5198,1714079596,KSFQ,1714080771,KSFQ,N893MM  ,1241.0,8.0,1590.0,21.0,2,8
3,ad5395,1714077101,,1714080048,KLAS,NKS2102 ,,,1553.0,1.0,0,4
4,ae13b9,1714077915,KSKF,1714080280,,LYRE71  ,4781.0,559.0,,,5,0
5,c00b86,1714077363,KJFK,1714081463,CYYZ,JZA555  ,1706.0,125.0,1748.0,127.0,0,4
6,c82835,1714077555,NZAA,1714080479,NZNR,ANZ013M ,2702.0,366.0,986.0,81.0,0,1
7,e49c59,1714080830,,1714082112,SBSP,TAM3171 ,,,6069.0,219.0,0,2
8,342581,1714077865,LEPA,1714079982,LEAL,VLG41WZ ,1824.0,151.0,2807.0,124.0,1,1
9,440030,1714075694,LPMA,1714080472,LPPT,EJU71AM ,962.0,43.0,2841.0,46.0,0,4
10,486494,1714075952,EGLL,1714078471,EHAM,KLM1016 ,828.0,104.0,5820.0,94.0,2,0
11,502d5e,1714077789,EFTP,1714080677,EVRA,BTI9806 ,522.0,56.0,3094.0,149.0,0,2
12,71bf65,1714076221,,1714078654,RKSI,KAL616  ,,,24324.0,1532.0,0,0
13,8015bc,1714078098,,1714080893,VOMM,IGO86C  ,,,2714.0,128.0,0,1
14,a03329,1714076707,42OH,1714077774,KCAK,CSJ16   ,2378.0,630.0,4111.0,21.0,5,17
15,a14f2f,1714077054,KLBB,1714079789,32TE,N1837S  ,3046.0,569.0,1430.0,385.0,0,15
16,a0f6b9,1714078486,KMSN,1714081326,KMSP,SKW4005 ,410.0,87.0,1137.0,27.0,4,10
17,a22238,1714079030,KPTK,1714080807,3MI5,N23678  ,635.0,28.0,5768.0,1188.0,0,3
18,a23844,1714076111,KJFK,1714078796,KDCA,RPA5723 ,1586.0,209.0,1258.0,80.0,0,5
19,a256bf,1714079180,KHAO,1714081342,KHAO,N25SK   ,2209.0,172.0,2091.0,172.0,1,13
20,a34811,1714075831,KCVG,1714079723,KCHS,AAY430  ,1929.0,39.0,3924.0,77.0,2,7
21,a2be57,1714075767,KDAN,1714077999,KDAN,N276SA  ,10820.0,1144.0,13735.0,831.0,0,4
22,a54d2d,1714077429,KA39,1714079339,KFFZ,OXF4263 ,3589.0,472.0,539.0,17.0,2,7
23,a60f6a,1714075970,KOKV,1714076830,KJYO,N49TB   ,4387.0,235.0,2870.0,64.0,2,11
24,a5a4a0,1714078834,KCNO,1714081784,KCRQ,N4629D  ,293.0,15.0,876.0,32.0,2,5
25,a5b7d1,1714077064,KRDG,1714079275,PA76,N468FA  ,3660.0,382.0,7614.0,554.0,3,8
26,a5c5e5,1714076160,KCKV,1714078897,K2A0,N471MA  ,2377.0,137.0,15388.0,1381.0,4,2
27,a5d3f9,1714076160,01FL,1714078958,FL00,LFA452  ,1749.0,390.0,19944.0,1473.0,3,8
28,a72c2a,1714081593,KO05,1714082241,KO05,N561RT  ,9048.0,1484.0,21036.0,1119.0,0,1
29,a6aade,1714076491,KSLE,1714077418,OR47,N529FD  ,343.0,18.0,2711.0,278.0,7,16
30,a81022,1714080322,KLOU,1714082277,59KY,N61890  ,1750.0,107.0,5972.0,643.0,1,5
31,a7d4d4,1714078426,KCMA,1714080803,KSBP,N6030Z  ,1306.0,159.0,10857.0,590.0,2,1
32,a7d7f3,1714075776,,1714076802,KDEN,SKW4782 ,,,4408.0,272.0,0,17
33,a7ddaa,1714079794,KGNV,1714081152,KXFL,N606BH  ,4201.0,342.0,2767.0,81.0,1,4
34,a967eb,1714076762,,1714079278,KTPA,JBU1366 ,,,2359.0,14.0,0,7
35,a95a1c,1714075452,KVPS,1714082305,KDCA,AAL2344 ,923.0,103.0,403.0,111.0,2,5
36,a8c32a,1714075715,KONT,1714079128,KPHX,AAL2661 ,932.0,93.0,1289.0,12.0,2,10
37,ab6061,1714078572,KLAS,1714079998,KU30,N832GC  ,1590.0,81.0,12444.0,625.0,2,0
38,ab5e16,1714079871,KHMT,1714080789,KREI,N831WS  ,556.0,18.0,3670.0,427.0,1,5
39,ab99d9,1714080965,,1714081681,MBPV,N847    ,,,2753.0,25.0,0,1
40,abd658,1714078561,KAUO,1714080769,AL89,N862AU  ,12918.0,1302.0,11933.0,1380.0,0,2
41,ad353d,1714076513,KOKC,1714080638,KORK,N950G   ,604.0,39.0,3169.0,138.0,2,17
42,ae022b,1714079374,KSMF,1714082305,KSUU,ORCA40  ,4888.0,593.0,7468.0,202.0,5,5
43,ae4ede,1714075244,KAFF,1714077154,KAFF,SHARK76 ,606.0,31.0,648.0,31.0,0,7
44,c0107a,1714075613,,1714080337,CYYZ,HRT381  ,,,2388.0,127.0,0,3
45,c82454,1714077857,NZCH,1714081977,NZCH,ZKHYI   ,797.0,114.0,763.0,84.0,1,3
46,e491b1,1714075860,,1714077244,SBGR,TAM3883 ,,,7581.0,256.0,0,2
47,0d0c6e,1714077011,KEBG,1714082231,KEBG,XBCMU   ,14968.0,1089.0,21197.0,944.0,0,1
48,346083,1714076341,LEMD,1714079632,LEPA,AEA6049 ,6790.0,191.0,4153.0,205.0,1,1
49,4408f4,1714076345,EDDB,1714081202,LFPG,TAY6DN  ,2354.0,89.0,3146.0,200.0,0,8
50,4841d9,1714075513,LIME,1714079952,EHRD,TRA76B  ,1318.0,203.0,600.0,80.0,1,1
51,4ca2c9,1714076286,EGBB,1714078673,EIDW,EIN27G  ,800.0,106.0,2178.0,131.0,0,4
52,7c80f8,1714078380,,1714081733,YSSY,RXA6517 ,,,1981.0,82.0,0,2
53,a04838,1714076480,KCMA,1714079303,KHND,N117WR  ,1406.0,151.0,441.0,25.0,2,4
54,a14ea8,1714076221,,1714079617,KOXR,N1833X  ,,,8948.0,443.0,0,2
55,a239de,1714079072,2TS4,1714081238,9XS1,CXK454  ,3937.0,1685.0,4855.0,954.0,3,9
56,a280a0,1714080393,KOSU,1714081573,KOSU,OSU26   ,6482.0,249.0,1033.0,70.0,5,19
57,a313bf,1714079791,KCLT,1714081317,KAVL,ENY3734 ,2846.0,290.0,4077.0,102.0,0,6
58,a32734,1714078253,KDAB,1714081607,KDAB,ERU302  ,263.0,12.0,3310.0,42.0,2,11
59,a40c2d,1714075474,,1714076929,KLRO,N36YV   ,,,4783.0,179.0,0,4
60,a51841,1714076801,KMDW,1714079554,KMKG,N4272C  ,3356.0,230.0,2818.0,6.0,0,3
61,a52259,1714076546,KPIE,1714078453,KPIE,N43SD   ,1047.0,33.0,933.0,41.0,1,5
62,a55fd7,1714075201,PAEN,1714078587,5AK9,N4452J  ,875.0,0.0,6565.0,868.0,5,64
63,a4e060,1714079160,KSDF,1714081921,17OH,N413MH  ,2743.0,167.0,6869.0,295.0,2,20
64,a65448,1714078170,KSGJ,1714080401,KGNV,FFY707  ,4320.0,652.0,4205.0,296.0,2,8
65,a5ce02,1714076923,KDEN,1714081519,61MU,UAL586  ,4585.0,150.0,3722.0,1378.0,5,14
66,a5e180,1714078505,43TN,1714079171,2TN8,N4782R  ,3593.0,1036.0,15019.0,928.0,0,9
67,a72213,1714075659,KPHL,1714080161,KCMH,JIA5408 ,2016.0,133.0,5173.0,124.0,1,16
68,a768ee,1714077002,KTTN,1714082122,KTTN,N577FG  ,1110.0,26.0,3456.0,140.0,2,17
69,a6d43f,1714078594,KCHD,1714080358,KP08,N5390L  ,471.0,93.0,3076.0,251.0,2,3
70,a84a2f,1714077525,KMAF,1714080352,KPWA,N633PJ  ,4511.0,1037.0,1740.0,91.0,2,10
71,a95962,1714075342,KSTP,1714080408,KBIS,N701MK  ,582.0,44.0,1492.0,110.0,3,4
72,a988cc,1714075441,KLBB,1714078119,TS53,SKW3180 ,4079.0,470.0,4226.0,95.0,0,25
73,a98fc5,1714076812,KPAO,1714077667,KPAO,N715MT  ,270.0,69.0,81.0,69.0,2,6
74,a9c10b,1714077053,KBVY,1714081983,KBVY,N7278P  ,292.0,58.0,1938.0,24.0,1,4
75,aa7a4b,1714078326,KSEE,1714079688,KOKB,N7740R  ,1248.0,156.0,1631.0,52.0,1,3
76,ab6162,1714079523,KDTW,1714082207,KROC,SKW3952 ,630.0,39.0,702.0,132.0,0,12
77,aae926,1714077158,54GA,1714080012,57GA,N80189  ,6905.0,269.0,13476.0,306.0,10,3
78,ac89a6,1714078002,PABV,1714082194,AK19,N907EW  ,2217.0,409.0,3147.0,1295.0,10,8
79,ad0e22,1714078903,KIND,1714079534,IN98,LTA940  ,3299.0,320.0,6359.0,495.0,2,29
80,ad1fee,1714078965,KBOS,1714081499,KLEB,KAP3130 ,902.0,97.0,367.0,107.0,0,3
81,ad3c16,1714078355,KSNA,1714081701,KPHX,AAL2640 ,2402.0,295.0,805.0,3.0,0,10
82,ace7bf,1714077309,KLGA,1714080325,VA19,EDV5336 ,218.0,105.0,2111.0,1221.0,0,8
83,ae2ede,1714075362,,1714076785,KNGP,RNGR805 ,,,793.0,306.0,0,8
84,ae4a29,1714077712,KNSE,1714079963,K12J,BB160   ,5436.0,663.0,11397.0,1577.0,5,3
85,ae77d8,1714080063,KBDR,1714081003,KHVN,R21267  ,10161.0,88.0,14643.0,644.0,0,4
86,adb656,1714077165,,1714078259,KMIA,AAL1400 ,,,4948.0,111.0,0,7
87,adaef7,1714076644,KEUL,1714079726,KEUL,N981BC  ,284.0,81.0,1944.0,119.0,5,14
88,adc943,1714075508,KTEB,1714078299,KACK,GPD988  ,994.0,40.0,2008.0,44.0,0,2
89,e480a2,1714077857,,1714078918,SBSP,TAM3071 ,,,4688.0,142.0,0,2
90,151dab,1714076864,,1714079566,VIDP,AFL232  ,,,3194.0,136.0,0,1
91,0a0018,1714076729,,1714080601,LEMD,DAH2206 ,,,2174.0,8.0,0,3
92,0d0d2b,1714075805,,1714077378,,VIV2166 ,,,,,0,0
93,0d0ec2,1714079023,,1714079876,,VIV4393 ,,,,,0,0
94,40093f,1714075442,EGLL,1714079179,EDDV,BAW978J ,779.0,119.0,3196.0,157.0,2,2
95,a067ec,1714076824,,1714080618,,SKW4788 ,,,,,0,0
96,a16037,1714075328,,1714077119,KPHX,AAL2420 ,,,602.0,4.0,0,10
